stock_symbol,timestamp,sentiment_score
AAPL,2023-01-17 00:00:00,3.1326885
AAPL,2023-01-18 00:00:00,2.7159622
AAPL,2023-01-19 00:00:00,2.6463685
AAPL,2023-01-20 00:00:00,2.3391438
AAPL,2023-01-21 00:00:00,3.4581673
AAPL,2023-01-22 00:00:00,2.8653636
AAPL,2023-01-23 00:00:00,3.3496697
AAPL,2023-01-24 00:00:00,2.579982
AAPL,2023-01-25 00:00:00,2.1737547
AAPL,2023-01-26 00:00:00,3.1387813
AAPL,2023-01-27 00:00:00,3.0717227
AAPL,2023-01-28 00:00:00,2.9300408
AAPL,2023-01-29 00:00:00,3.0662618
AAPL,2023-01-30 00:00:00,2.2203963
AAPL,2023-01-31 00:00:00,2.904745
AAPL,2023-02-01 00:00:00,2.4611423
AAPL,2023-02-02 00:00:00,2.7941806
AAPL,2023-02-03 00:00:00,2.396935
AAPL,2023-02-04 00:00:00,4.8536196
AAPL,2023-02-05 00:00:00,1.3390642
AAPL,2023-02-06 00:00:00,3.272425
AAPL,2023-02-07 00:00:00,2.7209537
AAPL,2023-02-08 00:00:00,3.1171837
AAPL,2023-02-09 00:00:00,2.6814194
AAPL,2023-02-10 00:00:00,2.679361
AAPL,2023-02-11 00:00:00,4.123725
AAPL,2023-02-12 00:00:00,2.0180912
AAPL,2023-02-13 00:00:00,2.975264
AAPL,2023-02-14 00:00:00,2.6862178
AAPL,2023-02-15 00:00:00,2.986023
AAPL,2023-02-16 00:00:00,2.787988
AAPL,2023-02-17 00:00:00,2.9329073
AAPL,2023-02-18 00:00:00,3.1507802
AAPL,2023-02-19 00:00:00,3.2312539
AAPL,2023-02-20 00:00:00,2.5660722
AAPL,2023-02-21 00:00:00,2.6097405
AAPL,2023-02-22 00:00:00,3.1572297
AAPL,2023-02-23 00:00:00,2.8787987
AAPL,2023-02-24 00:00:00,2.9626317
AAPL,2023-02-25 00:00:00,4.2987885
AAPL,2023-02-26 00:00:00,3.0753365
AAPL,2023-02-27 00:00:00,2.9584641
AAPL,2023-02-28 00:00:00,2.543722
AAPL,2023-03-01 00:00:00,3.0657496
AAPL,2023-03-02 00:00:00,2.8860278
AAPL,2023-03-03 00:00:00,3.3112028
AAPL,2023-03-04 00:00:00,3.8872888
AAPL,2023-03-05 00:00:00,3.459229
AAPL,2023-03-06 00:00:00,2.9824474
AAPL,2023-03-07 00:00:00,2.9337468
AAPL,2023-03-08 00:00:00,3.0548267
AAPL,2023-03-09 00:00:00,2.8270519
AAPL,2023-03-10 00:00:00,2.3791375
AAPL,2023-03-11 00:00:00,2.9723315
AAPL,2023-03-12 00:00:00,4.055833
AAPL,2023-03-13 00:00:00,3.1370995
AAPL,2023-03-14 00:00:00,3.2622824
AAPL,2023-03-15 00:00:00,2.8184004
AAPL,2023-03-16 00:00:00,3.246837
AAPL,2023-03-17 00:00:00,3.1370757
AAPL,2023-03-18 00:00:00,2.6559844
AAPL,2023-03-19 00:00:00,2.336686
AAPL,2023-03-20 00:00:00,2.116293
AAPL,2023-03-21 00:00:00,3.0622332
AAPL,2023-03-22 00:00:00,2.8998687
AAPL,2023-03-23 00:00:00,3.1175792
AAPL,2023-03-24 00:00:00,3.5140927
AAPL,2023-03-25 00:00:00,4.8323874
AAPL,2023-03-26 00:00:00,4.610209
AAPL,2023-03-27 00:00:00,2.8527262
AAPL,2023-03-28 00:00:00,2.3980954
AAPL,2023-03-29 00:00:00,3.1982615
AAPL,2023-03-30 00:00:00,3.3520722
AAPL,2023-03-31 00:00:00,3.152588
AAPL,2023-04-01 00:00:00,2.599928
AAPL,2023-04-02 00:00:00,3.6333456
AAPL,2023-04-03 00:00:00,3.2088509
AAPL,2023-04-04 00:00:00,2.8898745
AAPL,2023-04-05 00:00:00,2.9465768
AAPL,2023-04-06 00:00:00,2.9576657
AAPL,2023-04-07 00:00:00,2.186162
AAPL,2023-04-08 00:00:00,3.2786047
AAPL,2023-04-09 00:00:00,4.2129016
AAPL,2023-04-10 00:00:00,2.4101162
AAPL,2023-04-11 00:00:00,3.1774633
AAPL,2023-04-12 00:00:00,2.9376824
AAPL,2023-04-13 00:00:00,2.9471245
AAPL,2023-04-14 00:00:00,3.4932222
AAPL,2023-04-15 00:00:00,2.433287
AAPL,2023-04-16 00:00:00,3.5831351
AAPL,2023-04-17 00:00:00,2.5599465
AAPL,2023-04-18 00:00:00,3.3890288
AAPL,2023-04-19 00:00:00,2.5105166
AAPL,2023-04-20 00:00:00,2.6518247
AAPL,2023-04-21 00:00:00,3.347135
